Object	Cont_Flag	RAJ2000	DEJ2000	X	Y	Label_Flag	Info
line	+	194.49842909477064	22.766410817529124	0.0	0.0	false	
line	+	194.4984435998124	22.76641304695768	0.0	0.0	false	
line	+	194.49846052241648	22.76641304726156	0.0	0.0	false	
line	+	194.49847744502054	22.766413047563656	0.0	0.0	false	
line	+	194.49849436762463	22.76641304786397	0.0	0.0	false	
line	+	194.4985112902287	22.766413048162505	0.0	0.0	false	
line	+	194.49852821283278	22.766413048459256	0.0	0.0	false	
line	+	194.49854271796758	22.766410819545523	0.0	0.0	false	
line	+	194.4985572231473	22.766406361463822	0.0	0.0	false	
line	+	194.4985717282809	22.766404132547475	0.0	0.0	false	
line	+	194.49858381603417	22.766395216088412	0.0	0.0	false	
line	+	194.49859832130025	22.766386299669676	0.0	0.0	false	
line	+	194.4986152441231	22.766375154123924	0.0	0.0	false	
line	+	194.4986297493408	22.766368466869007	0.0	0.0	false	
line	+	194.49864425451315	22.766364008779444	0.0	0.0	false	
line	+	194.49866359462516	22.76636400910242	0.0	0.0	false	
line	+	194.49868051722316	22.76636400938312	0.0	0.0	false	
line	+	194.4986950223503	22.766361780455632	0.0	0.0	false	
line	+	194.498711944948	22.766361780733018	0.0	0.0	false	
line	+	194.49872886754574	22.766361781008616	0.0	0.0	false	
line	+	194.49874579014346	22.766361781282438	0.0	0.0	false	
line	+	194.4987627128252	22.766357323221143	0.0	0.0	false	
line	+	194.49877721799203	22.766352865119565	0.0	0.0	false	
line	+	194.4987917231164	22.766350636183336	0.0	0.0	false	
line	+	194.49880381085055	22.766341719707714	0.0	0.0	false	
line	+	194.49882073356898	22.76633503247364	0.0	0.0	false	
line	+	194.4988352387724	22.766328345200154	0.0	0.0	false	
line	+	194.49884974401493	22.7663194287587	0.0	0.0	false	
line	+	194.49885941426993	22.766308283074782	0.0	0.0	false	
line	+	194.49887150199592	22.766299366594062	0.0	0.0	false	
line	+	194.49888117228778	22.766285991742173	0.0	0.0	false	
line	+	194.49888842506536	22.766272616852874	0.0	0.0	false	
line	+	194.4988956779212	22.766254783629915	0.0	0.0	false	
line	+	194.49890293073543	22.7662391795733	0.0	0.0	false	
line	+	194.4989101835084	22.766225804683014	0.0	0.0	false	
line	+	194.4989126012573	22.766212429719527	0.0	0.0	false	
line	+	194.49891501900575	22.766199054755997	0.0	0.0	false	
line	+	194.49891985426456	22.766185679828816	0.0	0.0	false	
line	+	194.4989222720118	22.766172304865183	0.0	0.0	false	
line	+	194.498922272327	22.76615447153186	0.0	0.0	false	
line	+	194.4989246900735	22.76614109656819	0.0	0.0	false	
line	+	194.498924690349	22.76612549240153	0.0	0.0	false	
line	+	194.49892469066393	22.76610765906822	0.0	0.0	false	
line	+	194.49892469093945	22.766092054901563	0.0	0.0	false	
line	+	194.49891743868827	22.766076450625857	0.0	0.0	false	
line	+	194.49891260398692	22.766058617219656	0.0	0.0	false	
line	+	194.49891018671593	22.76604524218318	0.0	0.0	false	
line	+	194.49891018699313	22.766029638016526	0.0	0.0	false	
line	+	194.49891018727033	22.766014033849874	0.0	0.0	false	
line	+	194.49890777000033	22.766000658813354	0.0	0.0	false	
line	+	194.4989077702778	22.765985054646702	0.0	0.0	false	
line	+	194.49890293550155	22.765971679573543	0.0	0.0	false	
line	+	194.4989005182728	22.765956075370248	0.0	0.0	false	
line	+	194.4988932659917	22.765942700260116	0.0	0.0	false	
line	+	194.49889084872464	22.765929325223347	0.0	0.0	false	
line	+	194.49888843145806	22.765915950186535	0.0	0.0	false	
line	+	194.49888601419195	22.76590257514969	0.0	0.0	false	
line	+	194.49887876191514	22.765889200038902	0.0	0.0	false	
